id,Q_chn,open,Q,Time,Interp_chn,A_chn,A,Interp,Primary_id,Alter_id,Day_Stem
12,一妇测其丈夫何日出狱？,1,A woman asks when her husband will be released from prison.,丁亥年丙子月丙申日,丈夫克世，但丑土为狱之象，官鬼申支持世，卦中有卯未子午辰，必用寅救灾之兆。,此卦说明不急，等待六日，看丙午日有消息。丈夫大概率两日内出狱，或晚上也可能获释。,"This hexagram indicates there is no rush. Wait six days; news may arrive on the day of Bingwu. The husband is highly likely to be released from prison within two days, possibly even at night.","A husband overcomes the world, yet the Chou Earth symbolizes imprisonment. The official spirits of Shen support the world. Within the hexagram, there are Mao, Wei, Zi, Wu, and Chen, indicating a sign that must use Yin to avert disaster.",12,23,bing
13,测求财何时得利？,1,When will I gain financial benefits?,甲戌年丁巳月甲子日,求财以财爻为用，世爻临财卯，世爻合月用财；空文生克间，可得收益，但非丰厚。,主卦求财带辛苦，暗示需关注兄弟持世，避免分争之象。吉利之兆。,"The primary hexagram suggests financial gain will come with hardship. It implies the need to pay attention to the ""brother line"" (indicating potential competition) to avoid disputes. Overall, it is a favorable sign.","To seek wealth, use the wealth line as the function. The active line is associated with wealth and encounters the wealth line in the month; when considered between emptiness and generating-restricting cycles, gains can be obtained, but they will not be abundant.",22,53,jia
14,工程投标能否中标？,0,Will my project bid be successful?,癸未年乙卯月癸巳日,风泽中孚卦，离火在下，艮山在上。分析以父母交为用神，父母爻主合同、标书，卦中父母休囚，故未中标。,卦象显示无明显财爻生扶，且用神被克冲，难成。,"The hexagram shows no evident financial line providing support, and the useful spirit is being suppressed and clashed, making success unlikely.","The Wind and Lake Hexagram speaks of an inner sincerity, with Fire below and Mountain above. The analysis takes the parents as the useful spirit, where the parent line indicates contracts and documents. In the hexagram, the parent line is weak and inactive, hence the contract was not secured.",61,42,gui
15,典铺经营情况如何？,1,How is the pawnshop's business doing?,甲申年乙亥月丙午日,世爻日辰被冲，财爻不稳，典铺经营需谨慎，短期内不可久。,世爻逢冲，财爻受克，整体呈现短期不利，宜调整策略。,"The self-line encounters conflict, and the financial line is being suppressed. The overall situation appears unfavorable in the short term, and adjusting the strategy is recommended.","The line of the world and the day branch are in conflict, indicating that the wealth line is unstable. Management of the pawnshop must be cautious, and it should not operate for an extended period in the short term.",34,21,bing
16,文书是否能顺利办好？,0,Will the paperwork be successfully completed?,辛丑年丙申月壬寅日,卦中父母交为用神，动临月建生扶世爻，显示文书能顺利完成。,父母爻旺相生世，主文书最终可成，宜早办。,"The ""parent line"" (representing authority or paperwork) is strong and supports the self-line, indicating that the paperwork will eventually succeed. It is advisable to handle it early.","In the hexagram, the parents intersect to serve as the significant spirit, moving to align with the monthly build to support the subject line, indicating that the documents can be completed smoothly.",59,60,ren
17,师生关系能否继续？,0,Can the teacher-student relationship continue?,丙申年甲午月庚辰日,卦象不利，世爻被克，师生关系有变，最终恐难长久。,师爻生扶不足，世爻日辰受克，关系或将终结。,"The teacher line shows insufficient support, and the self-line is suppressed by the current day's energies, suggesting the teacher-student relationship might come to an end.","The hexagram image is unfavorable, the main line is subdued, and the teacher-student relationship changes, ultimately fearing difficulty in lasting.",51,63,geng
18,扬州汉墓的神秘现象，有游客拿相机进行拍摄时，通过相机看到很奇怪的现象，女人在相机里看到的只是一个透明的，模糊轮廓。甚至可以通过她的身体看到身后的扶栏，拍出来的照片也是一样的情景。更奇怪的是让一男人站在同样的地方，透过相机看到的却是正常的景象，当时扬州电视台也向外界发布消息，请求合理的解释。,1,"The mysterious phenomenon of Yangzhou Han tomb: A tourist took photos and saw strange scenes through the camera. A woman appeared as a transparent, blurry outline, even allowing the background railing to be visible through her body, and the photo showed the same. Strangely, when a man stood in the same spot, he appeared normal in the camera. Yangzhou TV later sought explanations from the public.",丙戌年丙申月己丑日,从卦上来看，父母子水独发可以表示原因，在六爻主天，水可以理解成空气里的水分，临勾陈为停留，合日上财主女性，父母又是信息，所以才有那样的现象，应该是光线和空气里水分产生的反映。,现象不是永久性的，现在没有了。,The phenomenon is not permanent and no longer exists.,"From the hexagram, the father-mother Water element alone indicates the cause. In the Six Yao system, the sky governs, and Water can be interpreted as moisture in the air. Associated with Gou Chen (Lingering), it represents stillness. Combined with the day's wealth (female element) and information from the father-mother element, it suggests a phenomenon caused by light and moisture in the air.",48,57,ji
19,自占用药金溃肾气丸调养身体是否可以？,0,Is it suitable to use the Jinkui Shenqi Pill for personal health recovery?,丙戌年丙申月壬辰日,医药以应为用神，但也看世爻动静变化，这个卦世独发化巳火已绝论，吃这个药会使自己上火，口干舌燥，下肢没有力气，效果不好。,独发看象，如果再有一个动爻就是论化回头生了。,A single activation indicates its current state; another moving line would signal a transformation back to regeneration.,"Medicine is represented by the response (Yong Shen), but also influenced by the dynamic changes in the main hexagram line. This hexagram shows the main line transitioning to the Si Fire, which is depleted. Taking the medicine might lead to overheating, dry mouth, weak legs, and poor effectiveness.",40,16,ren
20,我妻在外县租的服装摊位最近生意一直不太好，她摇了一卦看何时有转机。,1,"My wife rents a clothing stall in another county, and business hasn’t been good lately. She cast a divination to see when a turnaround might occur.",丙戌年乙未月戊午日,此卦为一爻独发，财虽然得月合日扶为旺相，但动爻酉金为财爻死地，独发以十二长生“象”为主来判断，所以财运一定不好，而世临兄弟，是自己的运气不好，而不是店的风水或者经营方式不对，这样的卦化解起来难度太大。,是自己的运气不好，而不是店的风水或者经营方式不对，这样的卦化解起来难度太大。,"It's due to one's bad luck, not the shop's feng shui or management approach. Such a hexagram is very difficult to resolve.","This hexagram shows one lone active Yao, with the wealth element supported by the month and day, indicating strength. However, the moving You Metal wealth element is in a ""dead"" position, with the lone Yao being evaluated based on the ""twelve stages of life cycle."" Thus, financial fortunes appear poor, and personal luck rather than external factors like store location or management, determines this outcome. Resolving such a hexagram is notably challenging.",49,55,wu
21,正吃的中草药对身体有利吗？,0,Is the Chinese herbal medicine currently being taken beneficial to the body?,丙戌年丙申月壬辰日,这个卦世临月日生动化进神过旺，世得月扶日生，又自动化进，六爻暗动来生，二爻元神，初有化出元神，用神元神得七个。,应该属于过旺。,It should be considered overpowered.,"This hexagram features the main Yao receiving month and day support, transitioning excessively. The primary Yao receives activation from the hidden elements in the sixth line. Returning to a harmonious state requires the weakening of the ""origin spirit."" Predictions suggest a return in the Chou month, when the ""useful spirit"" enters the grave and opposes the transformed Yao.",55,31,ren
23,一女问是否该跟他的男友表示要复合？,0,A woman asks whether she should tell her boyfriend she wants to reconcile.,丙戌年丙申月丙申日,这卦官鬼日扶月扶，原神妻财与土又动化回头生，忌神午火不上卦。我断是过旺，不过世爻又为官鬼之墓库，这代表他这次行动会彻底终止这段感情。,这个卦可以从两个角度看，官是过旺，独发入墓也是一个依据，所以两人复合的可能性很小。,"This hexagram can be interpreted from two perspectives: the official line is overpowered, and the single activation entering the tomb is another indication, making reconciliation between the two unlikely.","This hexagram shows the demons supported by the day and month, with the primary spirit (wealth and earth) returning to life through transformation. The unfavorable Wu Fire does not appear in the hexagram. I conclude that the situation is overpowered, and the main line, being the tomb of the demons, indicates the action will permanently end this relationship.",46,32,bing
24,朋友的手机出门掉了，他最后一次是在别人家接的，占是否能找回？,0,My friend lost his phone while outside. He last used it at someone else's house. Can it be found?,丙戌年丙申月辛卯日,手机以妻财为用神，我看伏于世下，应该是找的回。。原来断已日，应兄弟冲开之日。了。,用伏世下，就在身边，得日生为吉，二爻为宅，三爻为卧室，房间。,"Hidden under the main line, it's nearby. Blessed by the day's energy, the second line represents the house, and the third line represents the bedroom.","The phone is represented by wealth as the useful spirit. It lies hidden under the main line, suggesting it can be recovered. Initially predicted to be found on Yi day, it aligns with the day when the brother line activates and resolves.",63,43,xin
25,父母感情走向,1,What is the future of my parents’ relationship?,丙戌年丙申月乙亥日,父母旺相，现在应该没有大的问题，但五爻父母独发化绝，发展下去则不利，有离异的可能。,母亲心在外在他处，对家不是很关心，月上元神是母，冲破二爻，可以说明对家庭责任心不强。,"The mother’s attention is elsewhere and not focused on the home. The primary spirit of the month represents the mother, breaking through the second line, indicating a lack of strong responsibility toward the family.","The parent line is in a strong phase, indicating no major issues at present. However, the fifth line of the parent independently transforms into extinction, suggesting potential problems in the future, possibly leading to separation.",27,42,yi
26,看是否可做项某投资？,0,See if a certain project investment can be made?,丙戌年丙申月甲午日,"世爻酉金得月扶日克，为旺。代理新产品实质为求财，取财爻为用神。卦中财爻临土，申月休囚，幸得日建之生，为旺。财生官鬼世爻，当为易于求财。卦中有三个财爻，上六戌财临应生世，可理解为所代理产品对己有利；初爻丑财化子水父母为合，贪合忘生，但幸得日建午火冲开子丑之合，丑财又可生世爻，且爻临青龙，更吉；三爻为酉金世爻化辰土财库又化合，可理解为我遇到财，即得财，但甲午旬辰巳空，世爻化空是什么含义，我想不清楚。卦中兄弟寅木为忌神，月破又伏藏于父母亥水之下，不能危害用神。二爻父母亥水动化合，贪合忘克，不耗泄世爻，亦不克害财之原神午火。卦变六冲，恐好事逢冲而散
总体来看，仍以吉断",世动化财回头生合，财得日生可求，但空，不是马上见效益，卦变六冲，是表示不会永久做下去，总体看有利，但利不大。,"The main line activates wealth and regenerates in harmony, with wealth supported by the day's energy, making it attainable. However, it is empty, indicating benefits won't appear immediately. The hexagram transitions into six conflicts, suggesting it won't last long. Overall, it's favorable, but the gains are limited.","The main line You Metal is supported by the month and restrained by the day, indicating strength. Representing wealth as the useful spirit, the hexagram reflects the pursuit of wealth through the introduction of new products. The wealth line lies in the earth and, though inactive in the Shen month, gains vitality through the day element.Wealth produces the demons and the main line, facilitating wealth acquisition. The hexagram contains three wealth lines. The sixth line Xu wealth supports the main line, suggesting benefits from the new product. The first line Chou wealth, though constrained by Zi Water (parents), is freed by Wu Fire, allowing it to support the main line. Being associated with Qinglong (Green Dragon) further enhances its auspiciousness.The third line, You Metal (main line), transforms into the Chen Earth wealth repository, indicating financial gain. However, being in the Jiawu cycle with Chen and Si void, the implications of the main line’s void state remain unclear to me.The brother line Yin Wood, acting as an unfavorable spirit, is broken by the month and hidden under the parent Hai Water, rendering it harmless to the useful spirit.The second line, parent Hai Water, transforms into combination and avoids conflict, neither draining the main line nor harming the original spirit Wu Fire of the wealth.The hexagram transitions into a six-conflict state, suggesting good outcomes may be disrupted. Overall, the interpretation remains auspicious",32,51,jia
27,某公司工程师说要买新设备是真的吗？,0,Is it true that a company engineer said he wanted to buy new equipment?,丙戌年乙未月戊午日辛酉时,"
设备销售以财为用，卦中财休囚不上卦，父兄同动，求财如缘木求鱼。
合同用初爻父母辰土代表，旺相发动但化空破，难以成事。",实际反馈为后来主动收到5000元修理费，并签订新设备购买合同。,"The actual feedback was that he later proactively received a repair fee of 5,000 yuan and signed a purchase contract for new equipment. ","Equipment sales are used for money. The money in the hexagram is not in the hexagram. Father and brother move together. Seeking wealth is like seeking fish from a tree.
The contract is represented by the Chentu of the parents in the first line. The prosperous aspect is activated but it turns out to be empty and it is difficult to achieve anything.",41,43,xin
28,毕业证不见了，能找到吗？,0,"My diploma is missing, can I find it?",壬辰年癸卯月壬申日,"
伏于世爻下，表示找回机会大。
妻财空亡，需耐心等待时机。",最终在家中不显眼的角落找到毕业证。,"Finally, I found my diploma in an inconspicuous corner of my home. ","Lying down under the world's Yao means that there is a good chance of retrieval.
The wife's wealth is empty, so she needs to wait patiently for the opportunity.",48,46,ren
29,是否可以顺利通过面试？,0,Can I successfully pass the interview?,壬辰年乙巳月乙亥日,"
卦象显示兄弟午火旺动，克制用神官鬼。
显示竞争激烈，难以通过。",实际反馈未通过。,Actual feedback failed. ,"The hexagram shows that the brother's noon fire is strong, and the gods and ghosts are restrained.
Show competition is fierce and difficult to pass.",30,6,yi
